ID	Tipo	Marca	Modelo	Serie/Generacion	Designacion	Combustible	Motor	Year	Columna 9	IDspecific
land-rover-range-rover-classic	SUV	Land Rover	Range Rover	Classic	3.5	Gasolina	V8 3.5	1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985	https://beteranomotors.github.io/beterano-data/img/vehiculos/SUV/Land Rover-Range Rover.jpg	land-rover-range-rover-classic_v8-35_gasolina
land-rover-range-rover-classic	SUV	Land Rover	Range Rover	Classic	3.5 EFI	Gasolina	V8 3.5i	1986, 1987, 1988, 1989	https://beteranomotors.github.io/beterano-data/img/vehiculos/SUV/Land Rover-Range Rover.jpg	land-rover-range-rover-classic_v8-35i_gasolina
land-rover-range-rover-classic	SUV	Land Rover	Range Rover	Classic	3.9 EFI	Gasolina	V8 3.9	1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996	https://beteranomotors.github.io/beterano-data/img/vehiculos/SUV/Land Rover-Range Rover.jpg	land-rover-range-rover-classic_v8-39_gasolina
land-rover-range-rover-classic	SUV	Land Rover	Range Rover	Classic	4.2 LSE	Gasolina	V8 4.2 LSE	1992, 1993, 1994, 1995, 1996	https://beteranomotors.github.io/beterano-data/img/vehiculos/SUV/Land Rover-Range Rover.jpg	land-rover-range-rover-classic_v8-42-lse_gasolina
land-rover-range-rover-classic	SUV	Land Rover	Range Rover	Classic	Turbo D 2.4 VM	Diesel	VM Motori 81A	1986, 1987, 1988, 1989	https://beteranomotors.github.io/beterano-data/img/vehiculos/SUV/Land Rover-Range Rover.jpg	land-rover-range-rover-classic_vm-motori-81a_diesel
land-rover-range-rover-classic	SUV	Land Rover	Range Rover	Classic	Turbo D 2.5 VM	Diesel	VM Motori 425 OHV	1989, 1990, 1991, 1992	https://beteranomotors.github.io/beterano-data/img/vehiculos/SUV/Land Rover-Range Rover.jpg	land-rover-range-rover-classic_vm-motori-425-ohv_diesel
land-rover-range-rover-classic	SUV	Land Rover	Range Rover	Classic	200 Tdi	Diesel	200Tdi	1992, 1993, 1994	https://beteranomotors.github.io/beterano-data/img/vehiculos/SUV/Land Rover-Range Rover.jpg	land-rover-range-rover-classic_200tdi_diesel
land-rover-range-rover-classic	SUV	Land Rover	Range Rover	Classic	300 Tdi	Diesel	300Tdi	1994, 1995, 1996	https://beteranomotors.github.io/beterano-data/img/vehiculos/SUV/Land Rover-Range Rover.jpg	land-rover-range-rover-classic_300tdi_diesel
mercedes-benz-clase-g-clase-g-w460	SUV	Mercedes-Benz	Clase G	Clase G W460		Gasolina	230 G (M115)	1979, 1980, 1981, 1982	https://beteranomotors.github.io/beterano-data/img/vehiculos/SUV/Mercedes-Benz-Clase G.jpg	mercedes-benz-clase-g-clase-g-w460_230-g-m115_gasolina
mercedes-benz-clase-g-clase-g-w460	SUV	Mercedes-Benz	Clase G	Clase G W460		Gasolina	230 GE (M102)	1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992	https://beteranomotors.github.io/beterano-data/img/vehiculos/SUV/Mercedes-Benz-Clase G.jpg	mercedes-benz-clase-g-clase-g-w460_230-ge-m102_gasolina
mercedes-benz-clase-g-clase-g-w460	SUV	Mercedes-Benz	Clase G	Clase G W460		Gasolina	280 GE (M110)	1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990	https://beteranomotors.github.io/beterano-data/img/vehiculos/SUV/Mercedes-Benz-Clase G.jpg	mercedes-benz-clase-g-clase-g-w460_280-ge-m110_gasolina
mercedes-benz-clase-g-clase-g-w463	SUV	Mercedes-Benz	Clase G	Clase G W463	G 500 (M113)	Gasolina	G 500 (M113)	1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007	https://beteranomotors.github.io/beterano-data/img/vehiculos/SUV/Mercedes-Benz-Clase G.jpg	mercedes-benz-clase-g-clase-g-w463_g-500-m113_gasolina
mercedes-benz-clase-g-clase-g-w463	SUV	Mercedes-Benz	Clase G	Clase G W463	G 500 (M273)	Gasolina	G 500 (M273)	2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015	https://beteranomotors.github.io/beterano-data/img/vehiculos/SUV/Mercedes-Benz-Clase G.jpg	mercedes-benz-clase-g-clase-g-w463_g-500-m273_gasolina
mercedes-benz-clase-g-clase-g-w463	SUV	Mercedes-Benz	Clase G	Clase G W463	G 500 (M176)	Gasolina	G 500 (M176)	2015, 2016, 2017, 2018	https://beteranomotors.github.io/beterano-data/img/vehiculos/SUV/Mercedes-Benz-Clase G.jpg	mercedes-benz-clase-g-clase-g-w463_g-500-m176_gasolina
mercedes-benz-clase-g-clase-g-w463	SUV	Mercedes-Benz	Clase G	Clase G W463		Gasolina	G 55 AMG (M113)	1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012	https://beteranomotors.github.io/beterano-data/img/vehiculos/SUV/Mercedes-Benz-Clase G.jpg	mercedes-benz-clase-g-clase-g-w463_g-55-amg-m113_gasolina
mercedes-benz-clase-g-clase-g-w463	SUV	Mercedes-Benz	Clase G	Clase G W463		Gasolina	G 63 AMG (M157)	2012, 2013, 2014, 2015, 2016, 2017, 2018	https://beteranomotors.github.io/beterano-data/img/vehiculos/SUV/Mercedes-Benz-Clase G.jpg	mercedes-benz-clase-g-clase-g-w463_g-63-amg-m157_gasolina
